hrs1,sex,racecen1,mntlhlth,depress,wrkstat
40,FEMALE,WHITE,15,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
52,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,10,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
50,MALE,WHITE,-97,No,Working full time
30,FEMALE,HISPANIC,14,Yes,Working part time
40,MALE,WHITE,0,No,Working full time
31,FEMALE,WHITE,5,No,Working full time
.i:  Inapplicable,FEMALE,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
33,FEMALE,WHITE,7,No,Working part time
40,FEMALE,WHITE,15,Yes,Working full time
10,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
20,FEMALE,WHITE,4,No,Working part time
8,FEMALE,BLACK OR AFRICAN AMERICAN,10,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
35,FEMALE,BLACK OR AFRICAN AMERICAN,2,No,Working full time
25,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
0,MALE,AMERICAN INDIAN OR ALASKA NATIVE,14,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
28,MALE,WHITE,0,Yes,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,1,No,Working full time
50,MALE,WHITE,10,No,Working full time
36,FEMALE,WHITE,1,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,CHINESE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
89+ hrs,FEMALE,BLACK OR AFRICAN AMERICAN,5,Yes,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
38,FEMALE,WHITE,0,No,Working full time
40,MALE,KOREAN,0,No,Working full time
50,FEMALE,ASIAN INDIAN,1,No,Working full time
35,MALE,WHITE,0,Yes,Working full time
55,MALE,WHITE,3,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,BLACK OR AFRICAN AMERICAN,1,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
18,FEMALE,WHITE,30,Yes,Working part time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,-97,No,Working full time
20,FEMALE,WHITE,0,No,Working part time
8,FEMALE,WHITE,.n:  No answer,No,Working part time
60,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
38,FEMALE,BLACK OR AFRICAN AMERICAN,5,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
37,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
30,FEMALE,BLACK OR AFRICAN AMERICAN,30,No,Working full time
40,MALE,WHITE,1,Yes,Working full time
30,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,5,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
80,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,MALE,CHINESE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,BLACK OR AFRICAN AMERICAN,0,Yes,Working full time
45,MALE,.d:  Do not Know/Cannot Choose,0,No,Working full time
20,FEMALE,WHITE,2,No,Working full time
25,FEMALE,BLACK OR AFRICAN AMERICAN,1,No,Working part time
.i:  Inapplicable,MALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
20,MALE,WHITE,0,No,Working part time
40,FEMALE,FILIPINO,1,No,Working full time
45,FEMALE,WHITE,30,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,CHINESE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
45,MALE,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
26,FEMALE,HISPANIC,12,No,Working part time
40,MALE,WHITE,2,No,Working full time
8,MALE,WHITE,0,No,Working part time
33,MALE,WHITE,5,No,Working full time
70,MALE,WHITE,5,No,Working full time
.i:  Inapplicable,MALE,FILIPINO,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
60,MALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,MALE,HISPANIC,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
48,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
50,MALE,WHITE,0,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
40,MALE,SOME OTHER RACE,15,Yes,Working full time
